cohort,profile_encoder,split_id,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,threshold_target,true_positives,true_negatives,false_positives,false_negatives
full_npt256,raw256,0,0.5,0.48855653830805956,0.5333333333333333,0.5,0.5166666666666666,0.4444444444444444,0.5882352941176471,0.37283174747290715,1.2018353427592021,-0.2874383005151699,-0.01961992065557565,0.45403195796805584,8,10,10,7
full_npt256,raw256,1,0.7296296296296296,0.6950851997819961,0.6,0.5555555555555556,0.5777777777777777,0.5294117647058824,0.625,0.23478162366197874,0.676688055536199,-0.00018012220428548394,0.4514849398963654,0.38059051667278887,9,10,8,6
full_npt256,raw256,2,0.6888888888888889,0.6861300687616477,0.6666666666666666,0.7222222222222222,0.6944444444444444,0.6666666666666666,0.7222222222222222,0.2444287091030342,0.7015138405246694,0.026117967243740662,0.43842158678357857,0.3894019269606168,10,13,5,5
full_npt256,raw256,3,0.7518518518518519,0.6962374880021939,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.7142857142857143,0.7368421052631579,0.2175674412021204,0.6395096264880944,0.1286946823410243,0.5577624624187161,0.3968702289757549,10,14,4,5
full_npt256,raw256,4,0.6335403726708074,0.4864015717971093,0.7142857142857143,0.6521739130434783,0.6832298136645962,0.5555555555555556,0.7894736842105263,0.2689581853257151,0.8663233355632953,-0.49475346194585756,0.2052187004473439,0.46884003770725,10,15,8,4
full_npt256,raw256,5,0.5900000000000001,0.525005658592615,0.5333333333333333,0.7,0.6166666666666667,0.5714285714285714,0.6666666666666666,0.284093922366036,0.9140665067153921,-0.1939311447750481,0.15550255314196829,0.4526000887309589,8,14,6,7
full_npt256,raw256,6,0.5666666666666667,0.5046654217242452,0.6666666666666666,0.5,0.5833333333333333,0.5263157894736842,0.6428571428571429,0.31661267379243657,1.0414936524766425,-0.14856782641595065,0.10044266488760623,0.3100192387817648,10,9,9,5
full_npt256,raw256,7,0.6866666666666668,0.6376869291778013,0.8,0.55,0.675,0.5714285714285714,0.7857142857142857,0.25253602444060963,0.715677474363641,-0.17334807436632782,0.3970117886024423,0.34641208636689247,12,11,9,3
full_npt256,raw256,8,0.7255639097744362,0.7069430793499116,0.6428571428571429,0.7368421052631579,0.6898496240601504,0.6428571428571429,0.7368421052631579,0.23095908631854287,0.65814343566841,-0.07127039726883624,0.48780570921271876,0.3826505887026239,9,14,5,5
full_npt256,raw256,9,0.5,0.5282961838968513,0.3333333333333333,0.6,0.4666666666666667,0.38461538461538464,0.5454545454545454,0.36006809944825563,1.1189534294094596,-0.28245313364223207,0.02236781263422559,0.47122596277511225,5,12,8,10
full_npt256,raw256,10,0.7047619047619048,0.6415913041925035,0.8,0.5238095238095238,0.661904761904762,0.5454545454545454,0.7857142857142857,0.2437817565017066,0.7285048503871214,-0.4448518456855215,0.4279948259592493,0.44697281953727414,12,11,10,3
full_npt256,raw256,11,0.6807017543859649,0.7209634155754845,0.6,0.47368421052631576,0.5368421052631579,0.47368421052631576,0.6,0.24991332496222843,0.702494177121096,-0.2641111961061186,0.4403911925501463,0.40275129148520084,9,9,10,6
full_npt256,raw256,12,0.7534722222222223,0.7063673418972332,0.5625,0.8333333333333334,0.6979166666666667,0.75,0.6818181818181818,0.23025468502999177,0.6848646749918199,0.334448988796059,0.5342658063076084,0.474303785736187,9,15,3,7
full_npt256,raw256,13,0.6535714285714286,0.5359244592325583,0.5714285714285714,0.65,0.6107142857142858,0.5333333333333333,0.6842105263157895,0.2875469028232176,0.8782627075803848,-0.27021727407710866,0.22775303461686697,0.4302396952550722,8,13,7,6
full_npt256,raw256,14,0.6654135338345866,0.6062644691050264,0.42857142857142855,0.7368421052631579,0.5827067669172932,0.5454545454545454,0.6363636363636364,0.264657758179915,0.7677027053545968,-0.15376412972358589,0.3235085968521544,0.5530452004371427,6,14,5,8
full_npt256,raw256,15,0.6866666666666666,0.6792128656919791,0.6666666666666666,0.45,0.5583333333333333,0.47619047619047616,0.6428571428571429,0.26079256417585045,0.7709377976302513,-0.34629013724233226,0.34992796313385366,0.3760113163452326,10,9,11,5
full_npt256,raw256,16,0.4333333333333333,0.462055167055167,0.3333333333333333,0.7222222222222222,0.5277777777777778,0.5,0.5652173913043478,0.36719458555697165,1.106426771483025,-0.30986890113458576,-0.16203543750068325,0.5572035284117263,5,13,5,10
full_npt256,raw256,17,0.7048611111111112,0.6765770439243906,0.625,0.7222222222222222,0.6736111111111112,0.6666666666666666,0.6842105263157895,0.22989263239932264,0.6880933687335241,0.06375979398042961,0.46351705369242413,0.4641251147882732,10,13,5,6
full_npt256,raw256,18,0.6360544217687074,0.5521218690189711,0.6428571428571429,0.5714285714285714,0.6071428571428572,0.5,0.7058823529411765,0.29932938655408936,0.9828758286825293,-0.46659475692389213,0.18991736440315918,0.5099841236570475,9,12,9,5
full_npt256,raw256,19,0.6642857142857143,0.5173310862806662,0.5714285714285714,0.65,0.6107142857142858,0.5333333333333333,0.6842105263157895,0.26471557716181826,0.7996358260953164,-0.2631362286161704,0.2860737991115671,0.4807861784128381,8,13,7,6
full_npt256,raw256,20,0.5164473684210527,0.464489122948644,0.6875,0.3684210526315789,0.5279605263157895,0.4782608695652174,0.5833333333333334,0.33612656581518835,0.9647245018343165,-0.17154265456398932,0.03962636512618823,0.30023930907112667,11,7,12,5
full_npt256,raw256,21,0.5614035087719298,0.5304215364306641,0.6,0.42105263157894735,0.5105263157894737,0.45,0.5714285714285714,0.33505968220967347,1.0175166462656942,-0.21662408675905476,0.13258052815187357,0.4955663925854032,9,8,11,6
full_npt256,raw256,22,0.7148148148148148,0.708294444347076,0.7333333333333333,0.6111111111111112,0.6722222222222223,0.6111111111111112,0.7333333333333333,0.23415671375785327,0.7387380691444703,-0.12238316232533752,0.3731577638134955,0.4577266348000804,11,11,7,4
full_npt256,raw256,23,0.6857142857142857,0.7061771734131982,0.5714285714285714,0.7,0.6357142857142857,0.5714285714285714,0.7,0.25035121501468044,0.7562556264604924,-0.23441664555088312,0.3388873001311791,0.4766326618662157,8,14,6,6
full_npt256,raw256,24,0.5238095238095237,0.4408472953810444,0.35714285714285715,0.6666666666666666,0.5119047619047619,0.4166666666666667,0.6086956521739131,0.3168833716191824,0.9535266918459221,-0.40401589563034596,0.010461506528132866,0.5885588779593492,5,14,7,9
full_npt256,raw256,25,0.63,0.5973981665253012,0.4,0.7,0.55,0.5,0.6086956521739131,0.27574640635321596,0.8553278949106637,-0.04606688471995954,0.2441122311780314,0.4398856628653653,6,14,6,9
full_npt256,raw256,26,0.5725490196078431,0.5414616439329083,0.6,0.5882352941176471,0.5941176470588235,0.5625,0.625,0.30827405884619413,0.9112857828943571,-0.027949129829106942,0.1696091423925962,0.3165871390756774,9,10,7,6
full_npt256,raw256,27,0.4761904761904762,0.435935165812084,0.625,0.3333333333333333,0.47916666666666663,0.4166666666666667,0.5384615384615384,0.3551546046644942,1.0784490453354274,-0.29229959633282604,-0.08259396223438138,0.28693982219745406,10,7,14,6
full_npt256,raw256,28,0.7071428571428571,0.5700509252812933,0.5,0.75,0.625,0.5833333333333334,0.6818181818181818,0.24640932896407552,0.735167237430916,-0.16767451766266556,0.3637067527883636,0.5070580637621199,7,15,5,7
full_npt256,raw256,29,0.8684210526315789,0.8715444058865112,1.0,0.42105263157894735,0.7105263157894737,0.56,1.0,0.18646987097396678,0.5363536758739704,-1.2860221609367588,1.0647150423268672,0.39318538103626205,14,8,11,0
full_npt256,raw256,30,0.6444444444444445,0.6090469868575228,0.5333333333333333,0.7222222222222222,0.6277777777777778,0.6153846153846154,0.65,0.27993425897134855,0.8543557973443587,-0.0658779178811813,0.2484857364974637,0.4170711286577375,8,13,5,7
full_npt256,raw256,31,0.6633333333333333,0.532666500254088,0.6,0.6,0.6,0.5294117647058824,0.6666666666666666,0.2525965347018344,0.7721491070191351,-0.23821619771355584,0.2976890601057448,0.4121305371510252,9,12,8,6
full_npt256,raw256,32,0.6466666666666667,0.538981198540022,0.7333333333333333,0.65,0.6916666666666667,0.6111111111111112,0.7647058823529411,0.2609277085737336,0.8228175746787426,-0.278421128624489,0.26831722749717146,0.5082385442829902,11,13,7,4
full_npt256,raw256,33,0.45079365079365086,0.3941293838376218,0.6,0.38095238095238093,0.49047619047619045,0.4090909090909091,0.5714285714285714,0.39874310341440533,1.2252422993082166,-0.29561378528176185,-0.10125242313521728,0.4162784802360865,9,8,13,6
full_npt256,raw256,34,0.6785714285714286,0.6895489768324725,0.42857142857142855,0.7777777777777778,0.6031746031746031,0.6,0.6363636363636364,0.25609222911595914,0.7690791190443861,0.15443302792568583,0.3875269911092767,0.48917063319092813,6,14,4,8
full_npt256,raw256,35,0.6317460317460317,0.4811899854606141,0.7333333333333333,0.5238095238095238,0.6285714285714286,0.5238095238095238,0.7333333333333333,0.2561550610953761,0.7656672729250378,-0.27823739781213974,0.28600775620228563,0.4241107318179918,11,11,10,4
full_npt256,raw256,36,0.5735294117647058,0.5755420106713209,0.5,0.7058823529411765,0.6029411764705883,0.6153846153846154,0.6,0.3218802269181753,1.005096054807791,0.06538541868688726,0.14504970414133722,0.4467986368613447,8,12,5,8
full_npt256,raw256,37,0.6476190476190476,0.6139829834456205,0.5333333333333333,0.6666666666666666,0.6,0.5333333333333333,0.6666666666666666,0.24914703523921874,0.7549055394116732,-0.24020176726469233,0.3286556870372629,0.4551238870312438,8,14,7,7
full_npt256,raw256,38,0.49248120300751885,0.5635894086498925,0.42857142857142855,0.6842105263157895,0.556390977443609,0.5,0.6190476190476191,0.31896494147457083,0.9677156187990441,-0.27927839551726275,0.06681476867931023,0.5191117490098243,6,13,6,8
full_npt256,raw256,39,0.6804511278195489,0.6558321580380404,0.6428571428571429,0.631578947368421,0.637218045112782,0.5625,0.7058823529411765,0.2674906870610401,0.8604193418950905,-0.2319834016028788,0.27255332315416314,0.3215425644596557,9,12,7,5
full_npt256,raw256,40,0.6035087719298246,0.5676443224855048,0.6666666666666666,0.42105263157894735,0.5438596491228069,0.47619047619047616,0.6153846153846154,0.2798626485154707,0.8157973005959507,-0.18490735205247272,0.19765135552756483,0.3594110639058287,10,8,11,5
full_npt256,raw256,41,0.44791666666666674,0.4473240786884951,0.375,0.4444444444444444,0.4097222222222222,0.375,0.4444444444444444,0.39916777245681745,1.1762673068628855,-0.19156377950227288,-0.11855227560001069,0.3842714779560068,6,8,10,10
full_npt256,raw256,42,0.5403508771929825,0.4766187204629918,0.5333333333333333,0.6842105263157895,0.6087719298245614,0.5714285714285714,0.65,0.3137474704575658,0.9600575599315836,-0.2178086129780608,0.04975522977553784,0.4910720971892371,8,13,6,7
full_npt256,raw256,43,0.6464285714285715,0.5627820572673513,0.5714285714285714,0.6,0.5857142857142856,0.5,0.6666666666666666,0.2583625060813686,0.7933402351553229,-0.2609966159968568,0.27306745428463963,0.4825732405007924,8,12,8,6
full_npt256,raw256,44,0.7074829931972789,0.5889188425953131,0.7857142857142857,0.6666666666666666,0.7261904761904762,0.6111111111111112,0.8235294117647058,0.2521569824950524,0.8305819098943246,-0.501981609981288,0.3252012096000452,0.5717533277142409,11,14,7,3
full_npt256,raw256,45,0.5929824561403509,0.64783514827914,0.5333333333333333,0.47368421052631576,0.5035087719298246,0.4444444444444444,0.5625,0.2808191968579618,0.8340581321735824,-0.17241841673584365,0.2240283819679521,0.4540297456803796,8,9,10,7
full_npt256,raw256,46,0.5366666666666666,0.4820840733340733,0.5333333333333333,0.4,0.4666666666666667,0.4,0.5333333333333333,0.33491515729949867,0.9967015868561339,-0.29416411322849617,0.021443901832498537,0.4999054310256987,8,8,12,7
full_npt256,raw256,47,0.6947368421052632,0.6561617805990175,0.6,0.5789473684210527,0.5894736842105264,0.5294117647058824,0.6470588235294118,0.2738221333006994,0.8981645867484405,-0.11435592139054661,0.2388493804514807,0.472666851254552,9,11,8,6
full_npt256,raw256,48,0.6035714285714285,0.5915742857901243,0.5714285714285714,0.55,0.5607142857142857,0.47058823529411764,0.6470588235294118,0.26916016395050985,0.7808514367646082,-0.3549529717218599,0.3063338873959984,0.4033277421547897,8,11,9,6
full_npt256,raw256,49,0.5228070175438597,0.48681213562580283,0.4666666666666667,0.5263157894736842,0.4964912280701754,0.4375,0.5555555555555556,0.3171550440946013,1.0086536856361852,-0.19217564729990738,0.044037062086134456,0.2802371967493279,7,10,9,8
full_npt256,raw256,50,0.6000000000000001,0.47347888791618326,0.4,0.6666666666666666,0.5333333333333333,0.46153846153846156,0.6086956521739131,0.3000949130132052,0.9389825832909052,-0.2558960407023924,0.12443531571421726,0.4478723819848492,6,14,7,9
full_npt256,raw256,51,0.6596491228070176,0.5906476880607315,0.6,0.631578947368421,0.6157894736842104,0.5625,0.6666666666666666,0.2584944084558666,0.7405982622846797,-0.08455610805945901,0.34923384262950946,0.4100568500317894,9,12,7,6
full_npt256,raw256,52,0.7508771929824561,0.7303346385057465,0.7333333333333333,0.631578947368421,0.6824561403508771,0.6111111111111112,0.75,0.23932421303915868,0.7292217503087617,-0.16698459692606574,0.3867083221984647,0.49780492477839927,11,12,7,4
full_npt256,raw256,53,0.7669172932330827,0.7277999605639357,0.7857142857142857,0.631578947368421,0.7086466165413534,0.6111111111111112,0.8,0.20427514581217962,0.6285776622558552,-0.388683763368118,0.5466672925990936,0.4335472733527026,11,12,7,3
full_npt256,raw256,54,0.44912280701754387,0.4142897555913325,0.5333333333333333,0.47368421052631576,0.5035087719298246,0.4444444444444444,0.5625,0.3650336263875321,1.0745022797535246,-0.2902222378833061,-0.09361674817984579,0.3708470342069342,8,9,10,7
full_npt256,raw256,55,0.66,0.5349105333601901,0.4666666666666667,0.7,0.5833333333333333,0.5384615384615384,0.6363636363636364,0.2584388277380703,0.7763760654124914,-0.12492133039953206,0.3097299142913086,0.5429634908563649,7,14,6,8
full_npt256,raw256,56,0.5851851851851853,0.5117566219470244,0.4666666666666667,0.6111111111111112,0.538888888888889,0.5,0.5789473684210527,0.3031608769399403,0.9000991378329267,-0.10270529486592628,0.16667553885079936,0.44776716438657677,7,11,7,8
full_npt256,raw256,57,0.7403508771929825,0.709448232079811,0.8,0.5263157894736842,0.6631578947368422,0.5714285714285714,0.7692307692307693,0.21326221581838536,0.6307730937721361,-0.28918921332564657,0.5661442183745286,0.3518138363518016,12,10,9,3
full_npt256,raw256,58,0.554421768707483,0.5400904610511303,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.5,0.6521739130434783,0.3044594239563806,0.9256476094278118,-0.3564247433952388,0.14053032139849347,0.4991739631863029,6,15,6,8
full_npt256,raw256,59,0.5649122807017545,0.527512025012025,0.5333333333333333,0.5263157894736842,0.5298245614035088,0.47058823529411764,0.5882352941176471,0.2951873606337001,0.9028842956968768,-0.20562512659464455,0.10275790392772984,0.3972799661806914,8,10,9,7
full_npt256,raw256,60,0.6,0.580345574896767,0.6,0.4,0.5,0.42857142857142855,0.5714285714285714,0.28901955261438916,0.9005785626824198,-0.24900809333271898,0.15992128936008881,0.38101693748959053,9,8,12,6
full_npt256,raw256,61,0.6148148148148148,0.6524624113936394,0.5333333333333333,0.7777777777777778,0.6555555555555556,0.6666666666666666,0.6666666666666666,0.2794264386657951,0.8299309001441877,-0.04407313101697304,0.2607134057871999,0.4271041638433614,8,14,4,7
full_npt256,raw256,62,0.6862745098039216,0.6551540417213793,0.4,0.7647058823529411,0.5823529411764705,0.6,0.5909090909090909,0.2717607360302015,0.8218666291585479,0.23374917537625897,0.33956742672210544,0.4728163061807423,6,13,4,9
full_npt256,raw256,63,0.6363636363636364,0.49505300657474566,0.6428571428571429,0.5,0.5714285714285714,0.45,0.6875,0.2657756785667439,0.7623249844579943,-0.4458656518665553,0.30646005023163697,0.37561974467914566,9,11,11,5
full_npt256,raw256,64,0.5966666666666667,0.5524745780221162,0.6666666666666666,0.5,0.5833333333333333,0.5,0.6666666666666666,0.29350431207391386,0.8497093528953251,-0.3254033913734671,0.22801161505925943,0.4986470818726862,10,10,10,5
full_npt256,raw256,65,0.6140350877192983,0.6042848817848818,0.7333333333333333,0.47368421052631576,0.6035087719298246,0.5238095238095238,0.6923076923076923,0.2786822015201873,0.8249696556086437,-0.16718935951009326,0.22860333075988648,0.3806097322701328,11,9,10,4
full_npt256,raw256,66,0.7233333333333334,0.6746368855395224,0.6666666666666666,0.7,0.6833333333333333,0.625,0.7368421052631579,0.23041941637669897,0.6630820787291818,-0.08669426932751302,0.480805078453417,0.3999651595246707,10,14,6,5
full_npt256,raw256,67,0.5694444444444444,0.5243703475810331,0.5625,0.5555555555555556,0.5590277777777778,0.5294117647058824,0.5882352941176471,0.31630821100464646,0.9480252805827079,-0.04070476827884486,0.11726085969416256,0.30816434326342235,9,10,8,7
full_npt256,raw256,68,0.6357142857142857,0.5459627710733416,0.7857142857142857,0.4,0.5928571428571429,0.4782608695652174,0.7272727272727273,0.2811253917786239,0.8278062431483612,-0.46299737376145816,0.29642783233928033,0.3397863527184105,11,8,12,3
